author_id,recommendation_rank,product_id,product_name,brand_name,secondary_category,tertiary_category,price_usd,avg_product_rating,num_reviews,loves_count,predicted_score,risk_adjusted_score,bnn_uncertainty,confidence_bucket,predicted_lower_95,predicted_upper_95,mf_score,content_score,content_rating_score,hybrid_score,explanation
10000770719,1,P505158,Max Vitamin D-Fense Sunscreen Serum Broad Spectrum SPF 50,Peter Thomas Roth,Sunscreen,Face Sunscreen,42.0,4.8514,148.0,340,4.990448,4.9867067,0.007482917,high_confidence,4.886721,5.0,5.0,0.79178035,4.1671214,4.750136494636536,"Recommended as a Face Sunscreen product with high confidence because its content profile is similar to products this user has liked and it shows ingredient/content signals for hydration (glycerin, squalane); barrier support (squalane); sun protection (spf, sunscreen) Predicted score: 4.99; uncertainty: 0.007."
10000770719,2,P454313,Cica Sleeping Mask,LANEIGE,Masks,Face Masks,34.0,4.6375,971.0,80111,4.9891515,4.985286,0.007730891,high_confidence,4.881987,5.0,5.0,0.8055803,4.2223215,4.766696453094482,"Recommended as a Face Masks product with high confidence because its content profile is similar to products this user has liked and it shows ingredient/content signals for hydration (glycerin, squalane); barrier support (squalane); soothing (cica, oat) Predicted score: 4.99; uncertainty: 0.008."
10000770719,3,P500472,Mini Plum Plump Hyaluronic Acid Moisturizer,Glow Recipe,Mini Size,Unknown,21.0,4.4624,1449.0,26404,4.99142,4.984079,0.014682279,high_confidence,4.787896,5.0,5.0,0.59314513,3.3725805,4.511774182319641,Recommended as a Mini Size product with high confidence because its content profile is similar to products this user has liked and it shows ingredient/content signals for hydration (hyaluronic acid) Predicted score: 4.99; uncertainty: 0.015.
10000770719,4,P429242,Clear Sunscreen Stick SPF 50+,Shiseido,Sunscreen,Face Sunscreen,30.0,4.6566,1529.0,74272,4.9890733,4.983808,0.010530802,high_confidence,4.8430967,5.0,5.0,0.7765666,4.1062665,4.731879949569702,"Recommended as a Face Sunscreen product with high confidence because its content profile is similar to products this user has liked and it shows ingredient/content signals for brightening (licorice); sun protection (spf, sunscreen); soothing (oat) Predicted score: 4.99; uncertainty: 0.011."
10000770719,5,P479841,Floral Recovery Overnight Mask with Squalane,fresh,Masks,Face Masks,69.0,4.797,1128.0,30022,4.9856076,4.980967,0.009281399,high_confidence,4.8569503,5.0,5.0,0.7818282,4.1273127,4.738193869590759,"Recommended as a Face Masks product with high confidence because its content profile is similar to products this user has liked and it shows ingredient/content signals for hydration (glycerin, squalane); barrier support (squalane); brightening (vitamin c) Predicted score: 4.99; uncertainty: 0.009."
10000770719,6,P461555,Mini Superberry Hydrate + Glow Dream Mask,Youth To The People,Mini Size,Unknown,18.0,4.3237,2354.0,79524,4.9864717,4.980374,0.012195155,high_confidence,4.8174243,5.0,4.962309418915859,0.7696321,4.0785284,4.69717513835371,"Recommended as a Mini Size product with high confidence because its content profile is similar to products this user has liked and it shows ingredient/content signals for hydration (hyaluronic acid, glycerin); barrier support (squalane); brightening (vitamin c) Predicted score: 4.99; uncertainty: 0.012."
10000770719,7,P476729,Mini First Care Activating Serum,Sulwhasoo,Mini Size,Unknown,25.0,4.5707,976.0,11881,4.985986,4.9798107,0.012351062,high_confidence,4.814778,5.0,5.0,0.8316685,4.326674,4.798002243041992,Recommended as a Mini Size product with high confidence because its content profile is similar to products this user has liked and it shows ingredient/content signals for hydration (glycerin); brightening (licorice); anti-aging (adenosine) Predicted score: 4.99; uncertainty: 0.012.
10000770719,8,P469519,RESIST Advanced Replenishing Toner with Hyaluronic Acid,Paula's Choice,Cleansers,Toners,26.0,4.73,237.0,37158,4.9844723,4.978833,0.011278571,high_confidence,4.8281307,5.0,5.0,0.8391646,4.3566585,4.806997537612915,"Recommended as a Toners product with high confidence because its content profile is similar to products this user has liked and it shows ingredient/content signals for hydration (hyaluronic acid, glycerin); brightening (licorice); soothing (oat) Predicted score: 4.98; uncertainty: 0.011."
10000770719,9,P469537,Bestsellers Trial Kit,Sulwhasoo,Value & Gift Sets,Unknown,58.0,4.702,302.0,26274,4.9853625,4.978124,0.014477158,high_confidence,4.7846823,5.0,5.0,0.8109406,4.2437625,4.7731287479400635,"Recommended as a Value & Gift Sets product with high confidence because its content profile is similar to products this user has liked and it shows ingredient/content signals for hydration (glycerin, squalane); barrier support (peptide, squalane); brightening (licorice) Predicted score: 4.99; uncertainty: 0.014."
10000770719,10,P427415,100% Organic Cold-Pressed Rose Hip Seed Oil,The Ordinary,Moisturizers,Face Oils,10.9,4.3988,1620.0,240783,4.9841013,4.977082,0.014039176,high_confidence,4.7894926,5.0,4.948240419649894,0.5162497,3.0649989,4.383267989055981,Recommended as a Face Oils product with high confidence because its content profile is similar to products this user has liked Predicted score: 4.98; uncertainty: 0.014.
