author_id,product_id,rating
10000770719,P454936,5.0
10000770719,P447781,5.0
10000770719,P501254,5.0
10000770719,P447785,5.0
10000770719,P447782,5.0
10000770719,P454935,5.0
1000235057,P418346,5.0
1000235057,P427405,5.0
1000235057,P428250,4.0
1000235057,P232903,5.0
1000235057,P379707,3.0
1000235057,P384537,5.0
1000235057,P297524,5.0
1000235057,P428819,1.0
1000235057,P454799,1.0
1000235057,P377561,5.0
1000235057,P500757,1.0
1000235057,P456412,5.0
1000235057,P432241,5.0
1000235057,P91627362,5.0
1000235057,P440498,5.0
1000235057,P394397,1.0
1000235057,P416552,3.0
1000235057,P427418,1.0
1000235057,P433443,3.0
1000235057,P392648,1.0
10005786204,P454018,5.0
10005786204,P448202,4.0
10005786204,P470507,5.0
10005786204,P461160,3.0
10005786204,P470506,4.0
10005786204,P461159,3.0
10005786204,P463105,4.0
10007009256,P472472,5.0
10007009256,P416816,5.0
10007009256,P475589,5.0
10007009256,P457512,5.0
10007009256,P448719,5.0
10007009256,P470536,5.0
1001087549,P479318,5.0
1001087549,P461936,4.0
1001087549,P503865,5.0
1001087549,P471043,4.0
1001087549,P433520,5.0
1001087549,P477492,4.0
1001087549,P500857,5.0
1001087549,P483692,5.0
1001087549,P481989,5.0
1001087549,P270594,5.0
1001087549,P483457,5.0
1001087549,P482074,5.0
1001087549,P423142,4.0
1001087549,P443350,5.0
1001087549,P484067,5.0
1001087549,P309308,5.0
1001087549,P501254,5.0
1001087549,P480613,5.0
1001087549,P400259,5.0
1001087549,P500112,5.0
1001087549,P481348,5.0
1001087549,P500633,5.0
1001087549,P440650,5.0
1001087549,P481145,5.0
1001087549,P479327,5.0
1001087549,P505211,5.0
1001087549,P479841,5.0
1001087549,P423688,5.0
1001087549,P471025,5.0
1001087549,P482024,5.0
1001087549,P500993,5.0
10015807972,P426829,5.0
10015807972,P440307,3.0
10015807972,P394639,4.0
10015807972,P394624,5.0
10015807972,P480612,5.0
10015807972,P426340,5.0
10015807972,P427419,5.0
10015807972,P454380,5.0
10015807972,P470255,5.0
10015807972,P405599,4.0
10015807972,P427415,4.0
10021044780,P461949,5.0
10021044780,P442836,5.0
10021044780,P418346,5.0
10021044780,P500633,5.0
10021044780,P446629,5.0
10021044780,P474809,5.0
10021044780,P442840,5.0
10021044780,P473126,5.0
10021203314,P472023,5.0
10021203314,P500716,5.0
10021203314,P479318,5.0
10021203314,P482535,5.0
10021203314,P463353,4.0
10021203314,P476414,5.0
10021203314,P483679,5.0
10021203314,P504637,5.0
10021203314,P442836,5.0
10021203314,P505031,5.0
10021203314,P482074,5.0
10021203314,P467028,5.0
10021203314,P501166,5.0
10021203314,P470529,5.0
10021203314,P479340,5.0
10021203314,P461935,5.0
10021203314,P482676,5.0
10021203314,P405584,5.0
10021203314,P466154,4.0
10021203314,P475543,5.0
10021203314,P443359,5.0
10021203314,P500472,5.0
10021203314,P442761,5.0
10021203314,P474809,5.0
10021203314,P502395,5.0
10021203314,P500633,5.0
10021203314,P480608,5.0
10021203314,P479645,5.0
10021203314,P505024,5.0
10021203314,P462699,5.0
10021203314,P471033,5.0
10021203314,P476683,5.0
10021203314,P471025,5.0
10021203314,P480192,5.0
10021203314,P470058,5.0
10021203314,P479327,5.0
10021203314,P502200,5.0
10021203314,P482552,5.0
10021203314,P447210,4.0
10021203314,P471237,5.0
10021203314,P504056,5.0
10021203314,P482693,5.0
10021203314,P500288,5.0
10021203314,P501760,5.0
10021203314,P475172,5.0
10021203314,P471045,5.0
10021203314,P309308,5.0
10021203314,P481710,5.0
10021203314,P468850,5.0
10021203314,P400259,5.0
10021203314,P469537,5.0
10021203314,P504044,5.0
10021203314,P503634,5.0
10021203314,P467762,5.0
10021203314,P483453,5.0
10021203314,P502197,5.0
10021203314,P462666,5.0
10021203314,P481169,5.0
10023504296,P416816,5.0
10023504296,P416815,5.0
10023504296,P480613,5.0
10023504296,P438619,5.0
10023504296,P474333,4.0
10023504296,P433443,5.0
